dataset,reference,id,group,q,route,policy_correct,reference_correct,policy_answer,reference_answer,policy_valid,reference_valid,policy_ms,reference_ms,latency_diff_policy_minus_reference_ms,net_saving_ms,accuracy_diff,policy_U,reference_U,delta_U,old_policy_ms,old_action_ms,old_probe_selector_ms,old_reference_ms,old_net_saving_ms,online_probe_selector_ms,policy_action_ms,policy_other_ms,reference_action_ms,reference_other_ms,reference_shift_ms,selected_action_shift_ms,online_control_shift_ms,saving_minus_component_ms,policy_historical_parsed_match,reference_historical_parsed_match,policy_historical_raw_match,reference_historical_raw_match,cold_first_request,policy_record_key,reference_record_key
obqa,T,9-782,9-782,0.8,R,1,1,A,A,True,True,936.4845489617437,1041.8201368302107,-105.33558786846697,105.33558786846697,0,0.9628900021038329,0.9587158772359703,0.004174124867862634,290.39693787558343,246.414073,43.98286487558341,995.727098,705.3301601244166,568.5177948325872,367.1016921289265,0.8650620002299547,1041.6465611197054,0.17357571050524712,46.09303883021073,120.68761912892651,525.3999919572337,-599.9945722559496,True,True,True,True,True,obqa|9-782|policy_T,obqa|9-782|reference_T
obqa,T,14-290,14-290,0.8,R,0,1,D,A,True,True,235.37475103512406,980.2420409396291,-744.867289904505,744.867289904505,-1,-0.009327176327050258,0.9611560274888313,-0.9704832038158816,287.9029700962472,244.139688,43.763282096247195,1118.558758,830.6557879037528,33.374802907928824,201.87837118282914,0.12157694436609745,980.1088420208544,0.133198918774724,-138.31671706037082,-42.261316817170865,-10.266902243952273,-85.78849799924774,True,True,True,True,False,obqa|14-290|policy_T,obqa|14-290|reference_T
obqa,T,13-823,13-823,0.8,R,1,1,D,D,True,True,231.42373003065586,1018.589927116409,-787.1661970857531,787.1661970857531,0,0.9908293904644959,0.9596364188877919,0.031192971576704035,291.6692830519309,245.993748,45.67553505193091,1238.429024,946.7597409480691,33.03965600207448,198.264149017632,0.11992501094937325,1018.457697937265,0.13222917914390564,-219.83909688359108,-47.729598982368,-12.515954038907054,-159.59354386231598,True,True,True,True,False,obqa|13-823|policy_T,obqa|13-823|reference_T
obqa,T,12-745,12-745,0.8,R,1,1,D,D,True,True,232.71251702681184,796.257162000984,-563.5446449741721,563.5446449741721,0,0.9907783198058621,0.9684467814878261,0.02233153831803593,290.7805227025466,246.266442,44.51408070254659,973.060621,682.2800982974534,33.03339285776019,199.55635396763682,0.12277020141482353,796.1371659766883,0.11999602429568768,-176.80345899901602,-46.71008803236319,-11.357917643371579,-118.73545332328126,True,True,True,True,False,obqa|12-745|policy_T,obqa|12-745|reference_T
obqa,T,14-245,14-245,0.8,R,1,1,D,D,True,True,233.16357284784317,990.5566931702197,-757.3931203223765,757.3931203223765,0,0.9907604458531224,0.9607472895945421,0.03001315625858023,290.14903996266236,245.987717,44.16132296266234,1209.441847,919.2928070373378,33.42632111161947,199.61852999404073,0.11872174218297005,990.4346240218729,0.12206914834678173,-218.8851538297804,-46.369187005959276,-10.616280108859897,-161.89968671496126,True,True,True,True,False,obqa|14-245|policy_T,obqa|14-245|reference_T
obqa,T,12-721,12-721,0.8,R,1,1,A,A,True,True,231.81232786737382,775.6168290507048,-543.804501183331,543.804501183331,0,0.990813991529277,0.9692646943014548,0.021549297227822197,290.67585608799556,245.693,44.98285608799553,944.11333,653.4374739120044,33.149841940030456,198.54204007424414,0.12044585309922695,775.4970639944077,0.11976505629718304,-168.49650094929518,-47.15095992575587,-11.712568294865846,-109.6329727286734,True,True,True,True,False,obqa|12-721|policy_T,obqa|12-721|reference_T
obqa,T,11-642,11-642,0.8,R,1,1,A,A,True,True,232.26840398274362,597.8321710135788,-365.56376703083515,365.56376703083515,0,0.9907959186377374,0.9763097526454959,0.014486165992241487,287.90624001455177,246.358607,41.54763301455176,722.763438,434.8571979854482,32.6322210021317,199.5170498266816,0.11913315393030643,597.7143200580031,0.11785095557570457,-124.93126698642118,-46.84155717331839,-8.79627885848975,-69.29343095461303,True,True,True,True,False,obqa|11-642|policy_T,obqa|11-642|reference_T
obqa,T,12-577,12-577,0.8,R,1,1,C,C,True,True,264.7822431754321,899.5063249021769,-634.7240817267448,634.7240817267448,0,0.9895074953472787,0.9643553352143214,0.02515216013295734,331.821064079293,289.935813,41.88525107929301,1091.473068,759.652003920707,32.79361315071583,231.86739184893668,0.12123817577958107,899.3838659953326,0.12245890684425831,-191.96674309782316,-58.06842115106332,-8.970399752797604,-124.92792219396222,True,True,True,True,False,obqa|12-577|policy_T,obqa|12-577|reference_T
obqa,T,14-1215,14-1215,0.8,T,1,1,A,A,True,True,867.7482749335468,834.6067981328815,33.14147680066526,-33.14147680066526,0,0.9656138089059897,0.9669271035414561,-0.0013132946354663252,1063.8094962825921,1019.654785,44.154711282592174,1019.654785,-44.15471128259219,33.390723867341876,834.2376160435379,0.11993502266705036,834.4871550798416,0.11964305303990841,-185.04798686711842,-185.4171689564621,-10.644052392583248,11.01323448192693,True,True,True,True,False,obqa|14-1215|policy_T,obqa|14-1215|reference_T
obqa,T,12-488,12-488,0.8,R,1,1,C,C,True,True,232.445445144549,682.1022178046405,-449.6567726600915,449.6567726600915,0,0.9907889030418587,0.9729703902795142,0.017818512762344533,289.30705521946453,247.214112,42.09294321946454,827.128418,537.8213627805355,32.78202214278281,199.54190589487553,0.1215171068906784,681.9847270380706,0.11749076656997204,-145.02620019535948,-47.672206105124474,-9.189403969791051,-88.16459012044402,True,True,True,True,False,obqa|12-488|policy_T,obqa|12-488|reference_T
