source_id,source_line,source_path,pair,dataset,split,id,action,in_full,in_panel,raw_sha256,comparison,old_o,old_valid,old_y,old_reason,D1_o,D1_valid,D1_y,D1_reason,V2_o,V2_valid,V2_y,V2_reason,answer_changed,validity_changed,correctness_delta,old_branch,V2_events,V2_ignored
S006,247,$DATA_DIR/P2_6_20260910T164138Z/results/train_cases.jsonl,large,obqa,train,10-1146,c2c,True,False,cbfdb25952ad10e0641a5aed27e5675a4c9b88c18bc92bca1ba46c2e31d141b9,old_to_V2,INVALID,0,0,legacy_parse_failure,A,1,1,explicit_single,A,1,1,explicit_single,True,True,1,math_filter_rejection,"[{""start"": 0, ""end"": 1, ""label"": ""A"", ""labels"": [""A""], ""kind"": ""leading"", ""issue"": null, ""final"": false, ""revision"": false}]",[]
S006,695,$DATA_DIR/P2_6_20260910T164138Z/results/train_cases.jsonl,large,obqa,train,10-342,c2c,True,False,f86e69ed687317095145c7700553ea6a66e1b57156732301151c435470672729,old_to_V2,INVALID,0,0,legacy_parse_failure,B,1,1,explicit_single,B,1,1,explicit_single,True,True,1,math_filter_rejection,"[{""start"": 0, ""end"": 1, ""label"": ""B"", ""labels"": [""B""], ""kind"": ""leading"", ""issue"": null, ""final"": false, ""revision"": false}]",[]
S006,756,$DATA_DIR/P2_6_20260910T164138Z/results/train_cases.jsonl,large,obqa,train,10-383,c2c,True,False,8a0cc9bfab7105189de3625a418ec019336da46e1a8c41e146745644e5a2141b,old_to_V2,INVALID,0,0,legacy_parse_failure,D,1,1,explicit_single,D,1,1,explicit_single,True,True,1,math_filter_rejection,"[{""start"": 0, ""end"": 1, ""label"": ""D"", ""labels"": [""D""], ""kind"": ""leading"", ""issue"": null, ""final"": false, ""revision"": false}]",[]
S006,957,$DATA_DIR/P2_6_20260910T164138Z/results/train_cases.jsonl,large,obqa,train,10-520,c2c,True,False,296156812019641a8f54c2a6ed1b6f5ae5cfb79c992711064614d8198d303d2d,old_to_V2,INVALID,0,0,legacy_parse_failure,D,1,1,explicit_single,D,1,1,explicit_single,True,True,1,math_filter_rejection,"[{""start"": 0, ""end"": 1, ""label"": ""D"", ""labels"": [""D""], ""kind"": ""leading"", ""issue"": null, ""final"": false, ""revision"": false}]",[]
S006,1008,$DATA_DIR/P2_6_20260910T164138Z/results/train_cases.jsonl,large,obqa,train,10-553,c2c,True,False,4cdc1406efa49815cb52ce7d536d490a25ed5307fddd3a4b3075229dbdf948b6,old_to_V2,INVALID,0,0,legacy_parse_failure,D,1,0,explicit_single,D,1,0,explicit_single,True,True,0,math_filter_rejection,"[{""start"": 0, ""end"": 1, ""label"": ""D"", ""labels"": [""D""], ""kind"": ""leading"", ""issue"": null, ""final"": false, ""revision"": false}]",[]
S006,1127,$DATA_DIR/P2_6_20260910T164138Z/results/train_cases.jsonl,large,obqa,train,10-622,c2c,True,False,95eb0d9ead45f80979a2a1d1d2bb7647661083718a77199146cae21102999bb2,old_to_V2,INVALID,0,0,legacy_parse_failure,D,1,0,explicit_single,D,1,0,explicit_single,True,True,0,math_filter_rejection,"[{""start"": 0, ""end"": 1, ""label"": ""D"", ""labels"": [""D""], ""kind"": ""leading"", ""issue"": null, ""final"": false, ""revision"": false}]",[]
S006,1193,$DATA_DIR/P2_6_20260910T164138Z/results/train_cases.jsonl,large,obqa,train,10-657,c2c,True,False,7637d0df661c02b0f33a2abab23481a83de7d4ccd9bcae1266ab22c7d91d1286,old_to_V2,INVALID,0,0,legacy_parse_failure,D,1,1,explicit_single,D,1,1,explicit_single,True,True,1,math_filter_rejection,"[{""start"": 0, ""end"": 1, ""label"": ""D"", ""labels"": [""D""], ""kind"": ""leading"", ""issue"": null, ""final"": false, ""revision"": false}]",[]
S006,1497,$DATA_DIR/P2_6_20260910T164138Z/results/train_cases.jsonl,large,obqa,train,10-861,c2c,True,False,efb53a9ca08454f7fe33d46ae2f2192f0b2f6dc5b8fbe699284077ad20562f12,old_to_V2,INVALID,0,0,legacy_parse_failure,D,1,1,explicit_single,D,1,1,explicit_single,True,True,1,math_filter_rejection,"[{""start"": 0, ""end"": 1, ""label"": ""D"", ""labels"": [""D""], ""kind"": ""leading"", ""issue"": null, ""final"": false, ""revision"": false}]",[]
S006,1535,$DATA_DIR/P2_6_20260910T164138Z/results/train_cases.jsonl,large,obqa,train,10-895,c2c,True,False,3afbbcad3d673e31da38a2f5546f30e621cb2e86783597364f002985c7971279,old_to_V2,INVALID,0,0,legacy_parse_failure,D,1,0,explicit_single,D,1,0,explicit_single,True,True,0,math_filter_rejection,"[{""start"": 0, ""end"": 1, ""label"": ""D"", ""labels"": [""D""], ""kind"": ""leading"", ""issue"": null, ""final"": false, ""revision"": false}]",[]
S006,1681,$DATA_DIR/P2_6_20260910T164138Z/results/train_cases.jsonl,large,obqa,train,100,c2c,True,False,2815f48c81bfffbce0dcf6d1bea869a725fe1f37c66240dc5b28d1b18eea785d,old_to_V2,INVALID,0,0,legacy_parse_failure,C,1,1,explicit_single,C,1,1,explicit_single,True,True,1,math_filter_rejection,"[{""start"": 0, ""end"": 1, ""label"": ""C"", ""labels"": [""C""], ""kind"": ""leading"", ""issue"": null, ""final"": false, ""revision"": false}]",[]
S006,1890,$DATA_DIR/P2_6_20260910T164138Z/results/train_cases.jsonl,large,obqa,train,11-204,c2c,True,False,4413bb1572c7e029106a224666237362466311ff93ee5d80fced6c685dd05312,old_to_V2,INVALID,0,0,legacy_parse_failure,D,1,1,explicit_single,D,1,1,explicit_single,True,True,1,math_filter_rejection,"[{""start"": 0, ""end"": 1, ""label"": ""D"", ""labels"": [""D""], ""kind"": ""leading"", ""issue"": null, ""final"": false, ""revision"": false}]",[]
